Subgraph,Sentence
<S> <H> Success at school <NEG> <T> School risk factors <E>,Success at school decreases school risk factors.
<S> <H> Parental paid leave <POS> <T> Economic support for families <H> Parental paid leave <NEG> <T> Parental stress <E>,Having more parental paid leave increases economic support for families and decreases parental stress.
<S> <H> Employment <POS> <T> Financial Stability <H> Employment <POS> <T> Parental income from employment <H> Employment <NEG> <T> Poverty <E>,"Employment increases financial Stability, parental income from employment and decreases poverty."
<S> <H> Suicide attempt <POS> <T> Re-attempt <H> Suicide attempt <POS> <T> Therapy <E>,Suicide attempt correlates with re-attempt and increases the need for therapy.
<S> <H> Family economic stress <POS> <T> Family stress <E>,Family economic stress can lead to family stress.
<S> <H> Parental escalation of conflicts <POS> <T> Parents' use of corporal punishment <E>,More parental escalation of conflicts correlates with parents' use of corporal punishment.
<S> <H> Low socio-economic status of the neighbourhood <NEG> <T> Access to healthcare <H> Low socio-economic status of the neighbourhood <POS> <T> Involvement in violence <E>,Low socio-economic status of the neighbourhood decreases access to healthcare and increases involvement in violence.
<S> <H> Provision of care services <POS> <T> Pre-natal care <H> Provision of care services <POS> <T> Post-natal care <H> Provision of care services <POS> <T> Early childhood education and school readiness <H> Post-natal care <NEG> <T> Family risk factors <H> Early childhood education and school readiness <POS> <T> Pro-social behavior <H> Early childhood education and school readiness <POS> <T> Quality of health <H> Early childhood education and school readiness <NEG> <T> Maladaptive outcomes <H> Family risk factors <POS> <T> ACEs <H> ACEs <POS> <T> Internalized response to trauma <E>,"Provision of care services increases pre-natal care, post-natal care and early childhood education and school readiness. Post-natal care decreases family risk factors. Early childhood education and school readiness increases pro-social behavior, quality of health and decreases maladaptive outcomes. Family risk factors increases ACEs thereby increasing internalized response to trauma."
<S> <H> Peers' coping through substance use <POS> <T> (Unhealthy) coping strategies <E>,More peers' coping through substance use increases (Unhealthy) coping strategies.
<S> <H> Working multiple jobs <NEG> <T> Presence of adults able to invest in positive relationships with children <E>,Working multiple jobs decreases presence of adults able to invest in positive relationships with children.
<S> <H> Suicide ideation <POS> <T> Suicide attempt <E>,Suicide ideation increases suicide attempt.
<S> <H> ACEs <POS> <T> Suicide attempt <H> ACEs <POS> <T> Suicide ideation <E>,Higher number of ACEs increases suicide attempt and suicide ideation.
<S> <H> Parent engage in illegal activities <POS> <T> Arrest of parent <E>,Parent engage in illegal activities increases the chance of arrest of parent.
<S> <H> Worst ACE experienced <POS> <T> Perceived ACE severity <H> Perceived ACE severity <POS> <T> ACEs <E>,Having worst ACE experienced increases perceived ACE severity thereby increasing ACEs.
<S> <H> Population-level inequities <POS> <T> Victimisation of Children <E>,Increasing population-level inequities can lead to victimisation of Children.
<S> <H> Isolation <POS> <T> Suicide attempt <E>,Isolation can lead to suicide attempt.
<S> <H> Mortgage interest rate <NEG> <T> Achieving financial security via home ownership <H> Achieving financial security via home ownership <NEG> <T> Stress of housing insecurity <H> Stress of housing insecurity <POS> <T> Economic stressors on families <H> Economic stressors on families <POS> <T> Parental substance use <H> Economic stressors on families <POS> <T> Parental depression <H> Economic stressors on families <POS> <T> Violence in the home <E>,"Higher mortgage interest rate decreases the chance of achieving financial security via home ownership. Achieving financial security via home ownership decreases stress of housing insecurity. Stress of housing insecurity increases economic stressors on families thereby increasing parental substance use, parental depression and violence in the home."
<S> <H> Living in impoverished environment <NEG> <T> School funding <H> School funding <POS> <T> Education to get jobs <H> Education to get jobs <POS> <T> Parental income from employment <E>,Living in impoverished environment decreases school funding. School funding increases the level of education to get jobs thereby increasing parental income from employment.
<S> <H> Parent's incarceration <POS> <T> Family economic stress <H> Parent's incarceration <POS> <T> Family involvement with legal system <H> Parent's incarceration <POS> <T> Separation <H> Family economic stress <POS> <T> Family stress <E>,"Increasing parent's incarceration can lead to family economic stress, family involvement with legal system and separation. Family economic stress increases family stress."
<S> <H> Suicide ideation <POS> <T> Suicide attempt <E>,Increasing suicide ideation can cause suicide attempt.
<S> <H> Neighborhood-based risk factors <POS> <T> ACEs <H> Neighborhood-based risk factors <POS> <T> Police presence <H> Neighborhood-based risk factors <NEG> <T> Resilience <E>,"Neighborhood-based risk factors increases the need for ACEs, police presence and decreases resilience."
<S> <H> Sexual minority <POS> <T> Devaluation of one's identity <H> Devaluation of one's identity <POS> <T> Invalidation <E>,Sexual minority increases devaluation of one's identity thereby increasing invalidation.
<S> <H> (Unhealthy) coping strategies <POS> <T> Substance abuse <E>,(Unhealthy) coping strategies can lead to substance abuse.
<S> <H> Being good at an activity <POS> <T> Sense of fulfilment <E>,Being good at an activity increases sense of fulfilment.
<S> <H> Parent’s substance use <POS> <T> Arrest of parent <H> Arrest of parent <POS> <T> Parent’s incarceration <E>,Higher parent’s substance use increases the chance of arrest of parent thereby increasing parent’s incarceration.
<S> <H> ACEs <POS> <T> Re-attempt <E>,More ACEs can lead to re-attempt.
<S> <H> History of ACEs <POS> <T> Vulnerability <H> History of ACEs <POS> <T> Re-attempt <E>,History of ACEs increases vulnerability and re-attempt.
<S> <H> Impulsivity <POS> <T> Child escalation of conflicts <H> Child escalation of conflicts <POS> <T> Family stress <H> Child escalation of conflicts <POS> <T> Parental escalation of conflicts <E>,Higher impulsivity increases child escalation of conflicts thereby increasing family stress and parental escalation of conflicts.
<S> <H> Help-seeking behaviors <POS> <T> Access to mental health care <H> Access to mental health care <POS> <T> Treatment of mental health issues <H> Access to mental health care <POS> <T> Treatment of parental mental health issue <E>,More help-seeking behaviors increases access to mental health care resulting in more treatment of mental health issues and treatment of parental mental health issue.
<S> <H> Exposure to violence <POS> <T> ACEs <H> Exposure to violence <POS> <T> Neighbourhood risk factors <H> Exposure to violence <POS> <T> Normalization of violence <H> ACEs <POS> <T> Stress <E>,"Higher exposure to violence increases ACEs, neighbourhood risk factors and normalization of violence. More ACEs can lead to stress."
"<S> <H> Childcare subsidies <POS> <T> Affordable housing, childcare, and education <E>","Higher number of childcare subsidies promotes affordable housing, childcare, and education."
<S> <H> Parental conflict <POS> <T> Child escalation of conflicts <H> Child escalation of conflicts <POS> <T> Parental escalation of conflicts <E>,Parental conflict increases child escalation of conflicts resulting in more parental escalation of conflicts.
<S> <H> Fighting in the house <POS> <T> Family risk factors <E>,More fighting in the house increases family risk factors.
<S> <H> Living in a home with intimate partner violence <POS> <T> Exposure to violence <E>,Living in a home with intimate partner violence increases the exposure to violence.
<S> <H> Single parent household <NEG> <T> Exposure to violence <H> Exposure to violence <POS> <T> Normalization of violence <E>,Single parent household have lower exposure to violence. Exposure to violence increases normalization of violence.
<S> <H> Peers you can talk to <POS> <T> Protective environment <E>,Having more peers you can talk to can create protective environment.
<S> <H> African/American <POS> <T> Invalidating family environment <H> African/American <POS> <T> Parental lack of education on therapy <H> Invalidating family environment <POS> <T> Suicide ideation <E>,African/American have a higher chance of having invalidating family environment and parental lack of education on therapy. Having invalidating family environment increases suicide ideation.
<S> <H> African-American <POS> <T> Involvement with the justice system <H> African-American <NEG> <T> Substance use treatment <H> Involvement with the justice system <POS> <T> ACEs <H> Involvement with the justice system <POS> <T> Contact with other individuals in the justice system <H> Involvement with the justice system <POS> <T> Sentence severity <E>,"African-American have a higher rate of involvement with the justice system and a lower rate of substance use treatment. Involvement with the justice system increases the need for ACEs, contact with other individuals in the justice system and sentence severity."
<S> <H> Past history of segregation in medical facilities <POS> <T> Barriers to accessing mental health treatment for the individual <H> Barriers to accessing mental health treatment for the individual <NEG> <T> Mental health treatment <H> Barriers to accessing mental health treatment for the individual <POS> <T> Suicide ideation <E>,Past history of segregation in medical facilities increases barriers to accessing mental health treatment for the individual thereby decreasing mental health treatment and increasing suicide ideation.
<S> <H> Stress <POS> <T> Positive handling of stress <E>,Stress increases positive handling of stress.
<S> <H> School tolerance of injustice and victimization <POS> <T> Devaluation of one's identity <E>,School tolerance of injustice and victimization increases devaluation of one's identity.
<S> <H> Epi-genetic & behavioral modeling effects on parents <POS> <T> Parental perpetration of ACE <H> Parental perpetration of ACE <POS> <T> ACEs <E>,More epi-genetic & behavioral modeling effects on parents increases parental perpetration of ACE thereby increasing ACEs.
<S> <H> Access to mental health care <POS> <T> Treatment of mental health issues <H> Access to mental health care <POS> <T> Treatment of parental mental health issue <E>,Having more access to mental health care increases treatment of mental health issues and treatment of parental mental health issue.
<S> <H> Cumulative trauma <POS> <T> Engaging in externalizing behaviors <H> Engaging in externalizing behaviors <POS> <T> Getting labeled at school <E>,More cumulative trauma increases engaging in externalizing behaviors resulting in getting labeled at school.
<S> <H> Economic Policies for ACEs <NEG> <T> Family stress <H> Economic Policies for ACEs <POS> <T> Financial Stability <H> Economic Policies for ACEs <NEG> <T> Parental stress <E>,More economic Policies for ACEs decreases family stress and decreases financial Stability and parental stress.
<S> <H> Employment <POS> <T> Parental income from employment <E>,Higher rate of employment increases parental income from employment.
<S> <H> Toxic stress <POS> <T> Coping via substance use <H> Coping via substance use <POS> <T> Parental conflict <E>,Increasing toxic stress can lead to coping via substance use thereby increasing parental conflict.
<S> <H> Drug addiction <POS> <T> Removal from care services <H> Removal from care services <POS> <T> Experienced negative treatment experience <H> Experienced negative treatment experience <POS> <T> Medical/clinical care avoidance <H> Medical/clinical care avoidance <POS> <T> Avoidance of mental/emotional/behavioral care services <E>,Higher drug addiction increases removal from care services thereby increasing experienced negative treatment experience. People who experienced negative treatment experience tend to have increased medical/clinical care avoidance resulting in avoidance of mental/emotional/behavioral care services.
<S> <H> Undiagnosed parental mental health issue <POS> <T> Untreated parental mental health issue <H> Untreated parental mental health issue <POS> <T> Treatment of parental mental health issue <E>,People having undiagnosed parental mental health issue increases untreated parental mental health issue resulting in more treatment of parental mental health issue.
<S> <H> Rural <NEG> <T> Good education in early childhood <H> Good education in early childhood <POS> <T> Ability to connect <H> Good education in early childhood <NEG> <T> Child risk factors <H> Good education in early childhood <POS> <T> Quality of health <H> Child risk factors <POS> <T> ACEs <E>,More rural decreases good education in early childhood thereby increasing ability to connect and decreasing child risk factors. Good education in early childhood also increases quality of health. Child risk factors increases the need for ACEs.
<S> <H> Access to mental health care <POS> <T> Treatment of mental health issues <H> Access to mental health care <POS> <T> Treatment of parental mental health issue <E>,Having more access to mental health care increases the treatment of mental health issues and increases treatment of parental mental health issue.
<S> <H> Removal of access to means <POS> <T> Looking for (new) means <H> Removal of access to means <NEG> <T> Access to lethal means <E>,Having more removal of access to means increases the need for looking for (new) means and decreases access to lethal means.
<S> <H> Negative peers <POS> <T> Peers' coping through substance use <E>,Higher number of negative peers can lead to peers' coping through substance use.
<S> <H> Disruptive events <POS> <T> Stress <E>,Increased disruptive events can cause stress.
<S> <H> Supportive relationships <NEG> <T> Suicide ideation <E>,Having more supportive relationships decreases suicide ideation.
<S> <H> Drug addiction <POS> <T> Substance use treatment <E>,Higher level of drug addiction correlates with substance use treatment.
<S> <H> Income tax credit policies <POS> <T> Policies supporting protective environments <E>,Higher income tax credit policies correlates with policies supporting protective environments.
<S> <H> Local job opportunities <POS> <T> Parental income from employment <E>,More local job opportunities can improve parental income from employment.
<S> <H> Psychiatric disorders <NEG> <T> Feeling energetic and hopeful <E>,More psychiatric disorders decreases feeling energetic and hopeful.
<S> <H> Societal risk factors <POS> <T> Parental stress <E>,Higher number of societal risk factors increases parental stress.
<S> <H> Parent’s substance use <POS> <T> ACEs <E>,Increased parent’s substance use call for more ACEs.
<S> <H> Suicide attempt <POS> <T> Visit of ER <H> Visit of ER <POS> <T> Receives care at home <H> Visit of ER <POS> <T> Hospitalized <E>,A suicide attempt can lead to a visit of ER thereby receiving more care at home and chance of being hospitalized.
<S> <H> Suicide ideation <POS> <T> Mental health disorders <H> Mental health disorders <NEG> <T> Child getting help <H> Mental health disorders <NEG> <T> Help-seeking behaviors <H> Child getting help <POS> <T> Ability to express one self <H> Child getting help <POS> <T> Lack of perceived behavior change <H> Child getting help <POS> <T> Problems handling difficult emotions <H> Problems handling difficult emotions <NEG> <T> Therapy success <E>,"Suicide ideation correlates with mental health disorders. Having mental health disorders discourages child getting help and help-seeking behaviors. Teaching child to get help increases ability to express oneself, lack of perceived behavior change, problems handling difficult emotions. Having problems handling difficult emotions decreases therapy success."
<S> <H> ACEs <POS> <T> Re-attempt <H> ACEs <POS> <T> Substance abuse <H> Substance abuse <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Therapy <E>,More ACEs can lead to re-attempt and substance abuse thereby increasing suicide attempt. Suicide attempt increases the need for therapy.
<S> <H> Suicide planning <POS> <T> Lethality of method <H> Suicide planning <POS> <T> Suicide attempt <H> Lethality of method <NEG> <T> Ability to safe life by treatment <H> Suicide attempt <POS> <T> Suicide fatality <E>,"More suicide planning increases the lethality of method and suicide attempt, Lethality of method decreases the ability to safe life by treatment. More suicide attempt increases suicide fatality."
<S> <H> Parental involvement in care <POS> <T> Care at home <H> Parental involvement in care <POS> <T> Mental health treatment <H> Parental involvement in care <POS> <T> Therapy success <H> Therapy success <POS> <T> Hearing from child within therapy <E>,"More parental involvement in care increases care at home, mental health treatment and therapy success. Therapy success increases hearing from child within therapy."
<S> <H> Culture of secrecy <NEG> <T> Externally sought medical help <E>,Culture of secrecy decreases externally sought medical help.
<S> <H> ACEs <NEG> <T> Coping skills <H> ACEs <POS> <T> Toxic stress <H> Toxic stress <POS> <T> Coping via substance use <H> Coping via substance use <POS> <T> Parental conflict <E>,More ACEs decreases coping skills and increases toxic stress. Toxic stress increases coping via substance use thereby increasing parental conflict.
<S> <H> ACEs <NEG> <T> Coping skills/resiliency <H> ACEs <POS> <T> Cumulative trauma <H> Cumulative trauma <POS> <T> Mental health disorders <H> Cumulative trauma <POS> <T> Suicide ideation <H> Suicide ideation <NEG> <T> Self-esteem <H> Suicide ideation <POS> <T> Substance abuse <H> Substance abuse <POS> <T> Psychological pain <E>,More ACEs decreases coping skills/resiliency and increases cumulative trauma. Cumulative trauma increases mental health disorders and suicide ideation. Suicide ideation decreases self-esteem and increases substance abuse thereby increasing psychological pain.
<S> <H> Treatment of mental health issues <POS> <T> Hope of a positive outcome <E>,Higher number of treatment of mental health issues increases hope of a positive outcome.
<S> <H> Number of children in home <NEG> <T> Income/person supported in the household <E>,Higher number of children in home decreases income/person supported in the household.
<S> <H> Hurt by rejection <POS> <T> Emotional invalidation <H> Hurt by rejection <POS> <T> Interpersonal stressors <E>,Hurt by rejection can lead to emotional invalidation and interpersonal stressors.
<S> <H> Emotional breakup and rejection <POS> <T> Trauma history <H> Trauma history <POS> <T> Involvement in violence <H> Trauma history <POS> <T> Situational / interpersonal interactions <E>,Emotional breakup and rejection can cause trauma history thereby increasing involvement in violence. Trauma history increases situational / interpersonal interactions.
<S> <H> Suicide attempt <POS> <T> Suicide planning <H> Suicide planning <POS> <T> Execution of suicide plan <E>,Suicide attempt increases suicide planning resulting in the execution of suicide plan.
<S> <H> Connectedness <POS> <T> Ability to safe life by treatment <H> Connectedness <POS> <T> Access to immediate effective clinical care <H> Connectedness <NEG> <T> Homelessness <H> Homelessness <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Suicide planning <H> Suicide attempt <POS> <T> Suicide treatment <H> Suicide planning <POS> <T> Suicide ideation <E>,"Higher connectedness increases the ability to safe life by treatment, access to immediate effective clinical care and decreases homelessness. Homelessness increases suicide attempt thereby increasing suicide planning and suicide treatment. Suicide planning can lead to suicide ideation."
<S> <H> Mother substance use in pregnancy <POS> <T> ACEs <H> Mother substance use in pregnancy <POS> <T> Neurological vulnerabilities <H> Neurological vulnerabilities <POS> <T> Difficult behaviors <E>,Increased mother substance use in pregnancy call for more ACEs and neurological vulnerabilities thereby increasing difficult behaviors.
<S> <H> Invalidation <POS> <T> Toxic stress <H> Toxic stress <POS> <T> (Unhealthy) coping strategies <H> Toxic stress <POS> <T> Mental health disorders <H> Toxic stress <POS> <T> Reactive act of suicide <E>,"Increased invalidation can lead to toxic stress thereby increasing (Unhealthy) coping strategies, mental health disorders and reactive act of suicide."
<S> <H> Mental illness in the family <POS> <T> Internalized parental shame <H> Internalized parental shame <NEG> <T> Help-seeking behaviors <H> Internalized parental shame <POS> <T> Parents' defensiveness <E>,Having mental illness in the family can cause internalized parental shame thereby decreasing help-seeking behaviors. Internalized parental shame increases parents' defensiveness.
<S> <H> ACEs <POS> <T> Emotional distress/pain <H> ACEs <POS> <T> Emotional invalidation <H> ACEs <POS> <T> Shame <H> Emotional distress/pain <POS> <T> Feeling in pain and trapped <H> Emotional distress/pain <POS> <T> Clinical depression <H> Emotional distress/pain <POS> <T> Alcohol and drugs consumption <H> Clinical depression <NEG> <T> Coping skills (cognitive & emotional regulation) <E>,"More ACEs increases emotional distress/pain, emotional invalidation and shame. Emotional distress/pain increases feeling in pain and trapped, clinical depression and alcohol and drugs consumption. Having clinical depression decreases coping skills (cognitive & emotional regulation)."
<S> <H> Rural <POS> <T> Multi-generational despair <H> Multi-generational despair <POS> <T> Acceptance of one's identity <H> Acceptance of one's identity <NEG> <T> Identity conflict <E>,Rural increases multi-generational despair resulting in acceptance of one's identity. Acceptance of one's identity decreases identity conflict.
<S> <H> Discriminatory hiring practices <NEG> <T> Employment <E>,Increased discriminatory hiring practices decreases employment.
<S> <H> Family stress <POS> <T> Parental frustration <H> Parental frustration <POS> <T> ACEs <H> Parental frustration <POS> <T> Parents' coping via substance use <H> ACEs <POS> <T> Suicide attempt <E>,Higher level of family stress increases parental frustration thereby increasing the need for ACEs and parents' coping via substance use. More ACEs can lead to suicide attempt.
<S> <H> Suicide ideation <POS> <T> Mental health disorders <H> Suicide ideation <NEG> <T> Self-esteem <H> Suicide ideation <POS> <T> Substance abuse <H> Self-esteem <NEG> <T> Child risk factors <H> Self-esteem <POS> <T> Coping skills/resiliency <H> Substance abuse <POS> <T> Psychological pain <H> Coping skills/resiliency <NEG> <T> (Unhealthy) coping strategies <H> Coping skills/resiliency <NEG> <T> ACEs <H> ACEs <POS> <T> Cumulative trauma <E>,"Suicide ideation can lead to mental health disorders, a decrease of self-esteem, and an increase of substance abuse. Higher self-esteem decreases child risk factors and increases coping skills/resiliency. Substance abuse can lead to psychological pain. Higher coping skills/resiliency mitigates (Unhealthy) coping strategies and ACEs. More ACEs can result in cumulative trauma."
<S> <H> Arrest of parent <POS> <T> Incarceration of parent <H> Incarceration of parent <NEG> <T> Parental income from employment <E>,Arrest of parent can lead to incarceration of parent thereby decreasing parental income from employment.
<S> <H> Epi-genetic & behavioral modeling effects on parents <POS> <T> Parental perpetration of ACE <E>,Epi-genetic & behavioral modeling effects on parents increases parental perpetration of ACE.
<S> <H> Family stress <POS> <T> Exposure to family stressors <H> Exposure to family stressors <POS> <T> Stress <E>,Family stress increases exposure to family stressors thereby increasing stress.
<S> <H> Single parent household <POS> <T> Household dysfunction <E>,Single parent household can cause household dysfunction.
<S> <H> Rural <POS> <T> Low socio-economic status of the neighbourhood <H> Rural <POS> <T> Poverty <H> Rural <POS> <T> Substance abuse <H> Low socio-economic status of the neighbourhood <NEG> <T> Access to healthcare <H> Low socio-economic status of the neighbourhood <POS> <T> Identity is outside the socially accepted norm in the community <H> Low socio-economic status of the neighbourhood <POS> <T> Involvement in violence <H> Poverty <POS> <T> Risks in broader environment <H> Access to healthcare <NEG> <T> Neighbourhood risk factors <E>,"Rural promotes low socio-economic status of the neighbourhood, poverty and substance abuse. Low socio-economic status of the neighbourhood decreases access to healthcare, increases identity is outside the socially accepted norm in the community and increases involvement in violence. Poverty can increase risks in broader environment. Access to healthcare decreases neighbourhood risk factors."
<S> <H> Parents' substance use <POS> <T> Household challenges <E>,Frequent parents' substance use can lead to household challenges.
<S> <H> Lack of family income <POS> <T> Parent engage in illegal activities <E>,Lack of family income increases parent engage in illegal activities.
<S> <H> Worst ACE experienced <POS> <T> Perceived ACE severity <H> Perceived ACE severity <POS> <T> ACEs <E>,Worst ACE experienced can cause perceived ACE severity thereby increasing ACEs.
<S> <H> Isolation <NEG> <T> Ability to safe life by treatment <H> Isolation <NEG> <T> Connectedness <H> Connectedness <POS> <T> Access to immediate effective clinical care <H> Connectedness <NEG> <T> Homelessness <E>,More isolation decreases ability to safe life by treatment and connectedness. Higher connectedness increases access to immediate effective clinical care and decreases homelessness.
<S> <H> Working multiple jobs <POS> <T> Access to services <E>,Working multiple jobs can lead to access to services.
<S> <H> Toxic stress <POS> <T> Reactive act of suicide <E>,Toxic stress promotes reactive act of suicide.
<S> <H> Suicide ideation <POS> <T> Ruminative thoughts about dying <H> Ruminative thoughts about dying <POS> <T> Anxiety <E>,Suicide ideation can cause ruminative thoughts about dying thereby increasing anxiety.
<S> <H> Under-resourced communities <POS> <T> Societal risk factors <E>,Under-resourced communities can increase societal risk factors.
<S> <H> Places that don't have supportive family work policies <POS> <T> Family stress <H> Places that don't have supportive family work policies <POS> <T> Policy and cultural risk factors <E>,Places that don't have supportive family work policies can cause family stress and call for more policy and cultural risk factors.
<S> <H> Rural <POS> <T> Low socio-economic status of the neighbourhood <H> Rural <POS> <T> Poverty <H> Rural <POS> <T> Substance abuse <H> Low socio-economic status of the neighbourhood <NEG> <T> Access to healthcare <H> Low socio-economic status of the neighbourhood <POS> <T> Identity is outside the socially accepted norm in the community <H> Low socio-economic status of the neighbourhood <POS> <T> Involvement in violence <H> Poverty <POS> <T> Risks in broader environment <H> Access to healthcare <NEG> <T> Neighbourhood risk factors <E>,"Rural promotes low socio-economic status of the neighbourhood, poverty and substance abuse. Low socio-economic status of the neighbourhood decreases access to healthcare and increases identity is outside the socially accepted norm in the community. Low socio-economic status of the neighbourhood also encourages involvement in violence. Poverty can cause risks in broader environment. HIgher Access to healthcare decreases neighbourhood risk factors."
<S> <H> Capacity for suicide <POS> <T> Suicide ideation <E>,More capacity for suicide increases suicide ideation.
<S> <H> Invalidation <POS> <T> Toxic stress <H> Toxic stress <POS> <T> (Unhealthy) coping strategies <H> Toxic stress <POS> <T> Mental health disorders <H> Toxic stress <POS> <T> Reactive act of suicide <E>,"More invalidation increases toxic stress thereby increasing (Unhealthy) coping strategies, mental health disorders and reactive act of suicide."
<S> <H> Not fully developed cognitive abilities <POS> <T> Insufficient understanding of the finality of suicide <H> Insufficient understanding of the finality of suicide <POS> <T> Suicide ideation <E>,People who have not fully developed cognitive abilities can also have insufficient understanding of the finality of suicide resulting in an inclination to suicide ideation.
<S> <H> Disabilities <POS> <T> Child risk factors <H> Disabilities <POS> <T> Parental burden <E>,More disabilities increases child risk factors and parental burden.
<S> <H> Stigma of asking for help <NEG> <T> Help-seeking behaviors <H> Help-seeking behaviors <POS> <T> Access to mental health care <E>,Increased stigma of asking for help decreases help-seeking behaviors which is crucial to promote access to mental health care.
<S> <H> Parental perpetration of ACE <POS> <T> ACEs <E>,Higher parental perpetration of ACE call for more ACEs.
<S> <H> Invalidation <POS> <T> Toxic stress <E>,Higher invalidation increases toxic stress.
<S> <H> (Unhealthy) coping strategies <POS> <T> Self-harm <H> Self-harm <POS> <T> Increased willingness to apply pain to one self <H> Increased willingness to apply pain to one self <POS> <T> Capacity for suicide <H> Capacity for suicide <POS> <T> Suicide ideation <E>,More (Unhealthy) coping strategies increases self-harm resulting in increased willingness to apply pain to oneself. Having an increased willingness to apply pain to oneself can lead to capacity for suicide thereby increasing suicide ideation.
<S> <H> Suicide ideation <POS> <T> Ruminative thoughts about dying <H> Ruminative thoughts about dying <POS> <T> Anxiety <E>,Suicide ideation can cause ruminative thoughts about dying resulting in more anxiety.
<S> <H> ACEs <POS> <T> Involvement with the justice system <H> ACEs <POS> <T> Substance abuse <H> Involvement with the justice system <POS> <T> Contact with other individuals in the justice system <H> Substance abuse <POS> <T> Substance use treatment <E>,Higher number of ACEs can lead to involvement with the justice system and substance abuse. Involvement with the justice system can increase contact with other individuals in the justice system. Higher substance abuse call for more substance use treatment.
<S> <H> Vulnerability <NEG> <T> Coping skills (cognitive & emotional regulation) <E>,Increased vulnerability can mitigate coping skills (cognitive & emotional regulation).
<S> <H> Mental disability <POS> <T> Disabilities <H> Disabilities <POS> <T> Child risk factors <E>,Mental disability can lead to more disabilities resulting in more child risk factors.
<S> <H> Family risk factors <POS> <T> ACEs <H> ACEs <POS> <T> Internalized response to trauma <E>,More family risk factors can increase ACEs resulting in more Internalized response to trauma.
<S> <H> Family risk factors <POS> <T> ACEs <H> ACEs <POS> <T> Internalized response to trauma <E>,Higher family risk factors call for more ACEs causing more internalized response to trauma.
<S> <H> Neurological vulnerabilities <POS> <T> Difficult behaviors <E>,Having more neurological vulnerabilities promotes difficult behaviors.
<S> <H> Perceived ACE severity <POS> <T> ACEs <E>,Higher perceived ACE severity increases ACEs.
<S> <H> ACEs <POS> <T> Juvenile delinquency <H> ACEs <POS> <T> Suicide attempt <H> Juvenile delinquency <POS> <T> Child risk factors <H> Juvenile delinquency <POS> <T> Suicide ideation <E>,Higher number of ACEs can lead to juvenile delinquency and more suicide attempt. Juvenile delinquency increases child risk factors and suicide ideation.
<S> <H> School risk factors <POS> <T> Negative environments <H> Negative environments <POS> <T> ACEs <E>,Higher school risk factors can lead to negative environments resulting in more ACEs.
<S> <H> Feeling that your group is not valued <POS> <T> Burdensomness <E>,Feeling that your group is not valued can cause burdensomeness.
<S> <H> Brain development problems <POS> <T> Mental health problems <E>,Having brain development problems can lead to mental health problems.
<S> <H> Racism and forms of systemic oppression <POS> <T> ACEs <H> Racism and forms of systemic oppression <POS> <T> Societal risk factors <H> Racism and forms of systemic oppression <POS> <T> Under-resourced communities <E>,"More racism and forms of systemic oppression increases ACEs, societal risk factors and under-resourced communities."
<S> <H> Rural <NEG> <T> Access to services <H> Rural <POS> <T> Family financial stress <H> Rural <NEG> <T> Local job opportunities <H> Access to services <POS> <T> Housing stability <H> Family financial stress <POS> <T> Distress <H> Local job opportunities <NEG> <T> Low household income <H> Housing stability <NEG> <T> Homelessness <E>,Rural discourages access to services and increases family financial stress. Rural also see a decrease in Local job opportunities. Access to services can increase housing stability. More family financial stress can lead to distress. Having more local job opportunities decreases low household income. Housing stability decreases rate of homelessness.
<S> <H> Frustrated stress response in parents <POS> <T> Child abuse or neglect <H> Child abuse or neglect <POS> <T> ACEs <E>,Frustrated stress response in parents can lead to child abuse or neglect resulting in more ACEs.
<S> <H> Perceived ACE severity <POS> <T> ACEs <E>,Increased perceived ACE severity can result in more ACEs.
<S> <H> Invalidating family environment <POS> <T> Suicide ideation <E>,Having invalidating family environment can lead to suicide ideation.
<S> <H> Healthy coping strategies <POS> <T> Protective factors <H> Protective factors <NEG> <T> ACEs <E>,More healthy coping strategies increases protective factors thereby decreasing ACEs.
<S> <H> Perceived ACE severity <POS> <T> ACEs <E>,Perceived ACE severity can cause more ACEs.
<S> <H> Neurological disorders <POS> <T> Chronic pain <E>,More neurological disorders can lead to chronic pain.
<S> <H> Economic stressors on families <POS> <T> Parental substance use <H> Economic stressors on families <POS> <T> Parental depression <H> Economic stressors on families <POS> <T> Violence in the home <E>,"More economic stressors on families can lead to parental substance use, parental depression and violence in the home."
<S> <H> Parent’s substance use <POS> <T> Internalized parental shame <H> Internalized parental shame <NEG> <T> Help-seeking behaviors <H> Internalized parental shame <POS> <T> Parents' defensiveness <E>,Increased parent’s substance use can cause internalized parental shame thereby decreasing help-seeking behaviors and increasing parents' defensiveness.
<S> <H> Reactive act of suicide <NEG> <T> Lethality <H> Reactive act of suicide <POS> <T> Suicide attempt <H> Suicide attempt <POS> <T> Death by suicide <H> Suicide attempt <POS> <T> Survived an attempt <H> Survived an attempt <POS> <T> ACEs <H> Survived an attempt <POS> <T> Therapy <H> Survived an attempt <POS> <T> Removal of access to means <H> Removal of access to means <POS> <T> Looking for (new) means <E>,"Reactive act of suicide decreases lethality and increases suicide attempt. Higher number of suicide attempt can lead to higher number of death by suicide and higher number of those who survived an attempt. Those who survived an attempt need more ACEs, therapy and removal of access to means to prevent looking for (new) means."
